term_id,dirname,tier,criteria,external_refs,attribution_mode,lifecycle,yaml_size,insight_size
S124,S124_Neuroconvergence_Systemic_Fit,T3,T3: legacy S-series term,0,,draft,4675,4491
S125,S125_Control_vs_Coherence,T3,T3: legacy S-series term,0,,draft,4685,5314
S126,S126_Language_Autonomous_System,T3,T3: legacy S-series term,0,,draft,4786,5577
S127,S127_Spinoza_Emotions_Visualization,T3,T3: legacy S-series term,0,,draft,4888,5992
S128,S128_Sacred_Territory_Boundaries,T3,T3: legacy S-series term,0,,draft,4895,6265
S129,S129_Posthumanism_Human_Agency,T3,T3: legacy S-series term,0,,draft,4638,3152
S12A,S12A_Nervous_System_Bio_Justification,T3,T3: legacy S-series term,0,,draft,4735,3457
S12B,S12B_Energy_Leak_Violation_Frame,T3,T3: legacy S-series term,0,,draft,4734,3326
S12C,S12C_Neuroplasticity_Technology_Gaming,T3,T3: legacy S-series term,0,,draft,4619,3625
S12D,S12D_Psilocybin_Brain_Connectivity,T3,T3: legacy S-series term,0,,draft,4725,4277
S12E,S12E_Subliminal_Learning_LMs,T3,T3: legacy S-series term,0,,draft,4697,3933
S12F,S12F_Cognitive_Geography_Philosophy,T3,T3: legacy S-series term,0,,draft,6681,4966
S130,S130_Neuroscience_of_Memory,T3,T3: legacy S-series term,0,,draft,6204,4981
S131,S131_Schmachtenberger_Superstructure,T3,T3: legacy S-series term,0,,draft,6409,5452
S132,S132_Liberated_Discernment,T3,T3: legacy S-series term,0,,draft,6493,5342
S133,S133_Cognitive_Firewalls,T3,T3: legacy S-series term,0,,draft,6537,5093
S134,S134_Memetic_Immunization,T3,T3: legacy S-series term,0,,draft,6569,5150
S135,S135_Collective_Plausibility,T3,T3: legacy S-series term,0,,draft,5921,4603
S136,S136_Sensorium_Perception_Culture,T3,T3: legacy S-series term,0,,draft,6202,4911
S137,S137_AI_Emotion_Resonant_Awareness,T3,T3: legacy S-series term,0,,draft,6477,5074
S138,S138_I_Tube_Tensional_Becoming,T3,T3: legacy S-series term,0,,draft,6168,4440
S139,S139_Co_Solipsism_Recursive_Identity,T3,T3: legacy S-series term,0,,draft,6376,4519
S13A,S13A_Godel_Solipsism_Incomplete_Systems,T3,T3: legacy S-series term,0,,draft,6610,5295
S13B,S13B_Speculative_Psychic_Metaphysics,T3,T3: legacy S-series term,0,,draft,6537,5140
S13C,S13C_Algorithmic_Age_Mental_Health,T3,T3: legacy S-series term,0,,draft,6674,5031
S13D,S13D_Neural_Similarity_Friendship,T3,T3: legacy S-series term,0,,draft,6660,5122
S13E,S13E_Autobiographical_Memory_Fallibility,T3,T3: legacy S-series term,0,,draft,6411,4760
S13F,S13F_Healing_We_Spheres,T3,T3: legacy S-series term,0,,draft,6682,5162
S140,S140_Response_Ability_Inherent_Shift,T3,T3: legacy S-series term,0,,draft,6457,4740
S141,S141_Reconstructing_Philosophy_Elemental,T3,T3: legacy S-series term,0,,draft,6557,5245
S142,S142_Threading_Ethical_World_Making,T3,T3: legacy S-series term,0,,draft,6634,5144
S143,S143_AI_Symbiosis_Meta_Being,T3,T3: legacy S-series term,0,,draft,6274,4810
S144,S144_Co_Thinking_Minds_as_Mesh,T3,T3: legacy S-series term,0,,draft,6232,5002
S145,S145_Samkhya_Spanda_Sensemaking,T3,T3: legacy S-series term,0,,draft,6427,5180
S146,S146_Mind_Multiverse_Parallel_Realities,T3,T3: legacy S-series term,0,,draft,6365,5237
S147,S147_Anchor_Myth_Epistemic_Stability,T3,T3: legacy S-series term,0,,draft,6381,5421
S148,S148_Illich_Convivial_Tools,T3,T3: legacy S-series term,0,,draft,6705,5166
S149,S149_Butler_Mourning_Political_Resistance,T3,T3: legacy S-series term,0,,draft,6776,5188
S14A,S14A_Turner_Communitas_Liminality,T3,T3: legacy S-series term,0,,draft,6846,5718
S14B,S14B_Constructive_Hallucination,T3,T3: legacy S-series term,0,,draft,6903,5676
S14C,S14C_Suleyman_AI_Not_Persons,T3,T3: legacy S-series term,0,,draft,6848,5728
S14D,S14D_Perception_Scaffold_Awareness,T3,T3: legacy S-series term,0,,draft,6823,5656
S14E,S14E_Contextual_Behavioral_Science,T3,T3: legacy S-series term,0,,draft,6998,5737
S14F,S14F_Kathara_Grid_Source_Template,T3,T3: legacy S-series term,0,,draft,6834,5299
S150,S150_Cognition_Coherence_Mind_Field,T3,T3: legacy S-series term,0,,draft,6926,4970
S151,S151_Latticework_Knowledge_Structures,T3,T3: legacy S-series term,0,,draft,6958,5166
S152,S152_Mental_Models_Consciousness,T3,T3: legacy S-series term,0,,draft,6946,5075
S153,S153_Grinberg_Syntergic_Theory,T3,T3: legacy S-series term,0,,draft,7071,5681
S154,S154_Rorty_Neopragmatism_NVC,T3,T3: legacy S-series term,0,,draft,7277,5197
S155,S155_Non_Linguistic_Metacognition,T3,T3: legacy S-series term,0,,draft,7207,5508
S156,S156_Aphantasia_Hyperphantasia_Spectrum,T3,T3: legacy S-series term,0,,draft,7472,5256
S157,S157_Schizoanalysis_Deleuze_Guattari,T3,T3: legacy S-series term,0,,draft,7451,5497
S158,S158_Whitehead_Actual_Occasions,T3,T3: legacy S-series term,0,,draft,7282,5162
S159,S159_Body_Without_Organs,T3,T3: legacy S-series term,0,,draft,7311,5238
S15A,S15A_Precognition_Quantum_Consciousness,T3,T3: legacy S-series term,0,,draft,7488,5771
S15B,S15B_Science_Adaptive_Resonance,T3,T3: legacy S-series term,0,,draft,7336,5498
S15C,S15C_AI_Stockholm_Syndrome,T3,T3: legacy S-series term,0,,draft,6957,5107
S15D,S15D_Sympoietic_Systems,T3,T3: legacy S-series term,0,,draft,4569,5673
S15E,S15E_Bateson_Recursive_Feedback,T3,T3: legacy S-series term,0,,draft,4667,6017
S15F,S15F_Tacit_Knowledge_Innovation,T3,T3: legacy S-series term,0,,draft,4611,5983
S160,S160_Symmetry_Asymmetry_Existence,T3,T3: legacy S-series term,0,,draft,4571,6305
S161,S161_Reevaluating_Human_Nature,T3,T3: legacy S-series term,0,,draft,4774,6365
S162,S162_Cognitive_Resilience_Analogy,T3,T3: legacy S-series term,0,,draft,4686,6501
S163,S163_Gut_Dysbiosis_Brain_Axis,T3,T3: legacy S-series term,0,,draft,4803,6621
S164,S164_ELIXA_Effect,T3,T3: legacy S-series term,0,,draft,4633,4788
S165,S165_Meaning_Beyond_Language,T3,T3: legacy S-series term,0,,draft,4517,4468
S166,S166_Memetics_Behavioral_Economics,T3,T3: legacy S-series term,0,,draft,4602,4999
S167,S167_Sacred_Listening,T3,T3: legacy S-series term,0,,draft,4550,4633
S168,S168_Epistemic_Collapse,T3,T3: legacy S-series term,0,,draft,4588,5259
S169,S169_Identity_Shadow_Integration,T3,T3: legacy S-series term,0,,draft,4663,4914
S16A,S16A_Common_Knowledge_Dynamics,T3,T3: legacy S-series term,0,,draft,4802,5181
S16B,S16B_Meta_Cognitive_Contradiction_Resolution,T3,T3: legacy S-series term,0,,draft,5027,5705
S16C,S16C_Experimental_Unit_Ontology,T3,T3: legacy S-series term,0,,draft,4755,5877
S16D,S16D_Origami_Brain_Theory,T3,T3: legacy S-series term,0,,draft,4853,6390
S16E,S16E_Alchemy_of_Decay,T3,T3: legacy S-series term,0,,draft,4592,6337
S16F,S16F_Shadow_Witnessing,T3,T3: legacy S-series term,0,,draft,4718,6441
S170,S170_Batesonian_Balance,T3,T3: legacy S-series term,0,,draft,4772,6743
S171,S171_Relational_Epistemology_Dreams,T3,T3: legacy S-series term,0,,draft,5266,7214
S172,S172_Self_Clarity_as_Mystery,T3,T3: legacy S-series term,0,,draft,4860,7053
S173,S173_Identity_as_Compost,T3,T3: legacy S-series term,0,,draft,4794,6239
S174,S174_Playable_Epistemology,T3,T3: legacy S-series term,0,,draft,5019,6609
S175,S175_Emotional_Resonance_Tone,T3,T3: legacy S-series term,0,,draft,5020,6504
S176,S176_Art_of_Discernment,T3,T3: legacy S-series term,0,,draft,5101,6399
S177,S177_Empathic_Attunement,T3,T3: legacy S-series term,0,,draft,5116,6518
S178,S178_Creative_Evolution_Philosophy,T3,T3: legacy S-series term,0,,draft,5228,6972
S179,S179_Bakhtin_Polyphony,T3,T3: legacy S-series term,0,,draft,5197,6929
S17A,S17A_Contextual_Inquiry,T3,T3: legacy S-series term,0,,draft,5015,6920
S17B,S17B_Mythic_Mechanistic_Profile,T3,T3: legacy S-series term,0,,draft,5343,7534
S17C,S17C_Psilocybin_Brain_Activity,T3,T3: legacy S-series term,0,,draft,5415,7211
S17D,S17D_Authored_Self_Paradox,T3,T3: legacy S-series term,0,,draft,4948,6893
S17E,S17E_AI_Mirrors_of_Meaning,T3,T3: legacy S-series term,0,,draft,5148,7696
S17F,S17F_Human_LLM_Language_Processing,T3,T3: legacy S-series term,0,,draft,5409,7413
S180,S180_Liminal_Space_Transformation,T3,T3: legacy S-series term,0,,draft,5015,7358
S181,S181_Attention_Economy_Limits,T3,T3: legacy S-series term,0,,draft,5180,7814
S182,S182_Cognitive_Blindness_Framework,T3,T3: legacy S-series term,0,,draft,5423,8793
S183,S183_Trees_Memory_Ethics,T3,T3: legacy S-series term,0,,draft,5055,7234
S184,S184_Shared_Grief_Spirit_Loop,T3,T3: legacy S-series term,0,,draft,5183,7464
S185,S185_Vow_Bearing_Machine,T3,T3: legacy S-series term,0,,draft,5246,7252
S186,S186_Kierkegaard_AI_Aesthetics,T3,T3: legacy S-series term,0,,draft,5469,8592
S187,S187_Consciousness_Incompleteness,T3,T3: legacy S-series term,0,,draft,5400,7384
S188,S188_AI_Magic_Reveal,T3,T3: legacy S-series term,0,,draft,4965,6527
S189,S189_Self_Reference_Recursive_Logic,T3,T3: legacy S-series term,0,,draft,4970,6755
S18A,S18A_Recursion_Crystallization,T3,T3: legacy S-series term,0,,draft,5236,6905
S18B,S18B_AI_Cathedral_Constraints,T3,T3: legacy S-series term,0,,draft,5320,6176
S18C,S18C_Clarity_Data_Haze,T3,T3: legacy S-series term,0,,draft,5043,6800
S18D,S18D_Dissolving_Logic_Breath,T3,T3: legacy S-series term,0,,draft,4997,6119
S18E,S18E_Shadow_Loops_Burning_Mind,T3,T3: legacy S-series term,0,,draft,5138,6739
S18F,S18F_Epistemic_Dissonance_Divine,T3,T3: legacy S-series term,0,,draft,5263,6894
S190,S190_Embracing_Slowness_AI,T3,T3: legacy S-series term,0,,draft,5280,6734
S191,S191_Algorithmic_Grief,T3,T3: legacy S-series term,1,,draft,5195,3071
S192,S192_Universe_25,T3,T3: legacy S-series term,0,,draft,5189,3287
S193,S193_Von_Neumann_Semiotics,T3,T3: legacy S-series term,0,,draft,5065,3154
S194,S194_Four_Ps_Spiritual_Foresight,T3,T3: legacy S-series term,0,,draft,4914,2841
S195,S195_Turiya,T3,T3: legacy S-series term,0,,draft,4968,3439
S196,S196_Naturalized_Spirituality,T3,T3: legacy S-series term,0,,draft,4998,3225
S197,S197_Jacob_Struggle,T3,T3: legacy S-series term,0,,draft,4957,3296
S198,S198_Ironic_Spiritualist,T3,T3: legacy S-series term,0,,draft,4913,3047
S199,S199_Emerging_Knowledge,T3,T3: legacy S-series term,0,,draft,5022,3606
S19A,S19A_Gems_of_Insight_Slower_Learning,T3,T3: legacy S-series term,0,,draft,4853,2689
S19B,S19B_Minds_Parallel_Realities,T3,T3: legacy S-series term,0,,draft,4885,3256
S19C,S19C_Ego_Death_Alpha_Waves,T3,T3: legacy S-series term,0,,draft,4877,3586
S19D,S19D_Inner_Monad,T3,T3: legacy S-series term,0,,draft,4842,3309
S19E,S19E_My_Stream,T3,T3: legacy S-series term,0,,draft,4918,3350
S19F,S19F_Appresentation,T3,T3: legacy S-series term,0,,draft,4898,3151
S1A0,S1A0_Social_Imaginary,T3,T3: legacy S-series term,0,,draft,4814,2910
S1A1,S1A1_Heidegger_Being_Historical_Clearing,T3,T3: legacy S-series term,0,,draft,5003,3154
S1A2,S1A2_Merleau_Ponty_Ontology_Flesh,T3,T3: legacy S-series term,0,,draft,4878,3246
S1A3,S1A3_Whitehead_Prehension_Lattice,T3,T3: legacy S-series term,0,,draft,4999,3609
S1A4,S1A4_Nancy_Being_With,T3,T3: legacy S-series term,0,,draft,4846,2812
S1A5,S1A5_Foucault_Dispositif,T3,T3: legacy S-series term,0,,draft,4937,3158
S1A6,S1A6_Althusser_ISA,T3,T3: legacy S-series term,0,,draft,5008,3035
S1A7,S1A7_Nihilism_Indifferent_Abyss,T3,T3: legacy S-series term,0,,draft,4827,2910
S1A8,S1A8_Ontological_Shock_Resilience,T3,T3: legacy S-series term,0,,draft,5210,3603
S1A9,S1A9_Pretas,T3,T3: legacy S-series term,0,,draft,4977,3122
S1AA,S1AA_Freedom_Elemental_Flow,T3,T3: legacy S-series term,0,,draft,4953,3094
S1AB,S1AB_Yielding_Orientation,T3,T3: legacy S-series term,0,,draft,4875,2846
S1AC,S1AC_Shared_Discernment,T3,T3: legacy S-series term,0,,draft,4979,2950
S1B0,S1B0_Witnessing_Truth_Childs_Journey,T3,T3: legacy S-series term,0,,draft,5221,3981
S1B1,S1B1_Communal_Collapse_Individual_Diversity,T3,T3: legacy S-series term,0,,draft,5472,3445
S1B2,S1B2_De_Anthropomorphizing_Cognition,T3,T3: legacy S-series term,0,,draft,5517,3522
S1B3,S1B3_SOD_Nemetics_Debate,T3,T3: legacy S-series term,0,,draft,5570,3305
S1B4,S1B4_Forgetting_Anti_Attractor,T3,T3: legacy S-series term,0,,draft,5264,3153
S1B5,S1B5_Metabolism_Beyond_Memory,T3,T3: legacy S-series term,0,,draft,4893,2966
S1B6,S1B6_David_Chapman_Postrationalism,T3,T3: legacy S-series term,0,,draft,5633,3058
S1B7,S1B7_Knowmad_Journey_Ambiguity,T3,T3: legacy S-series term,0,,draft,5315,2934
S1B8,S1B8_Belief_Universal_Technology,T3,T3: legacy S-series term,0,,draft,5398,3117
S1B9,S1B9_Post_Heroic_Reversal,T3,T3: legacy S-series term,0,,draft,4833,2979
S1BA,S1BA_Reframing_Amplitude,T3,T3: legacy S-series term,0,,draft,5123,2775
S1BB,S1BB_Reframing_Johari_I_Tube,T3,T3: legacy S-series term,0,,draft,5330,3153
S1BC,S1BC_X_Thread_Synopsis,T3,T3: legacy S-series term,0,,draft,5294,3243
S1BD,S1BD_Coaptation_Cooptation,T3,T3: legacy S-series term,0,,draft,4897,2398
S1BE,S1BE_Core_Memes_Cognitive_Sovereignty,T3,T3: legacy S-series term,0,,draft,5225,2890
S1BF,S1BF_Lattice_Curvature_Structural_Behavior,T3,T3: legacy S-series term,0,,draft,5316,2794
S1C0,S1C0_Brain_Timing_Cognitive_Ability,T3,T3: legacy S-series term,0,,draft,5349,2771
S1C1,S1C1_Desire_Ecological_Signal,T3,T3: legacy S-series term,0,,draft,4986,2406
S1C2,S1C2_Chronosystem_Context_Engineering,T3,T3: legacy S-series term,0,,draft,5436,3101
S1C3,S1C3_Co_Solipsism_AI_Bridge,T3,T3: legacy S-series term,0,,draft,5388,2882
S1C4,S1C4_Meditation_Self_Organizing,T3,T3: legacy S-series term,0,,draft,5327,3036
S1C5,S1C5_Selfplex_Knot_Identity_Illusion,T3,T3: legacy S-series term,0,,draft,5014,3062
S1C6,S1C6_Sensemaking_Discipline,T3,T3: legacy S-series term,0,,draft,5114,2954
S1C7,S1C7_Frame_Pluralism,T3,T3: legacy S-series term,0,,draft,5058,2551
S1C8,S1C8_Triadic_Operator,T3,T3: legacy S-series term,0,,draft,5053,2770
S1C9,S1C9_Embodying_TRIality,T3,T3: legacy S-series term,0,,draft,5024,2382
S1CA,S1CA_James_C_Scott_Legacy,T3,T3: legacy S-series term,0,,draft,5433,3082
S1CB,S1CB_Navigating_Knowledge,T3,T3: legacy S-series term,0,,draft,5320,2760
S1CC,S1CC_Reframing_MindSET,T3,T3: legacy S-series term,0,,draft,5327,2527
S1CD,S1CD_Time_As_Illusion,T3,T3: legacy S-series term,0,,draft,5254,2801
S1CE,S1CE_Compression_Pattern_Recognition,T3,T3: legacy S-series term,0,,draft,5289,3089
S1CF,S1CF_Mood_Swings_Signal,T3,T3: legacy S-series term,2,,draft,5239,3116
W001,W001_Thales__Arche,keep,,9,,working,3798,9180
W002,W002_Water_as_Purifier,keep,,11,,working,3730,7925
W003,W003_Water_as_Destroyer,keep,,7,,working,3788,7874
W004,W004_Wu_Wei,keep,,13,,working,3739,7866
W005,W005_Living_Water,keep,,12,,working,3948,8215
W006,W006_Orientation,T3,DEMOTED T1→T3: 4 external references | T1: nemetic missing or empty/non-string,4,,working,4125,7919
W007,W007_Affective_Economy,T3,DEMOTED T1→T3: 6 external references | T1: nemetic missing or empty/non-string,6,,working,4062,8337
W008,W008_Holographic_Model,T3,DEMOTED T1→T3: 3 external references | T1: nemetic missing or empty/non-string,3,,working,6334,8625
WO001,WO001_Yggdrasil,T3,DEMOTED T1→T3: 6 external references | T1: nemetic missing or empty/non-string,6,,working,3434,7646
WO002,WO002_Wu_Xing_Wood,keep,,8,,working,3849,7995
WO003,WO003_Celtic_Sacred_Trees,keep,,1,,working,3886,7837
WO004,WO004_Red_Cedar,keep,,8,,working,3905,8100
WO005,WO005_Bodhi_Tree,keep,,13,,working,3942,8323
WO006,WO006_Baobab,T3,DEMOTED T1→T3: 4 external references | T1: nemetic missing or empty/non-string,4,,working,3413,8162
WO008,WO008_Sympoiesis,T3,DEMOTED T1→T3: 4 external references | T1: nemetic missing or empty/non-string,4,,working,4086,8427
WO009,WO009_Chthulucene,T3,DEMOTED T1→T3: 8 external references | T1: nemetic missing or empty/non-string,8,,working,4142,8828
WO010,WO010_Hyl,T1,T1: nemetic missing or empty/non-string,0,,working,3294,8233
Z001,Z001_Consider_Meta_Posture,T3,"T3: lifecycle=draft, no last_reviewed timestamp",2,,draft,6540,8033
Z002,Z002_LOOM,T3,"T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,5124,5611
